Opername,Pipename,Shape_Leng,Shape__Length
KINDER MORGAN,SFPP_NORTH,0.490813475056,64154.84162158161
KINDER MORGAN,TransMountain,13.1459948368,1728989.2908279123
CHEVRON PIPE LINE CO,Salt Lake Products,11.9295005255,1558086.1842841145
CHEVRON PIPE LINE CO,Salt Lake Products,0.983026657703,118997.67786038108
PHILLIPS 66 PIPELINE,Yellowstone,4.1575760314,484558.9557329755
PHILLIPS 66 PIPELINE,Yellowstone,6.20693136941,743111.1587328585
PHILLIPS 66 PIPELINE,Helena\Great Falls,1.19953245413,173455.52513414368
PHILLIPS 66 PIPELINE,Seminole,5.31378614255,734958.6265177501
UNEV PIPELINE,UNEV Pipeline,6.58968867944,855671.0848983653
UNEV PIPELINE,UNEV Pipeline,0.349035639258,42133.98851935771
PHILLIPS 66 PIPELINE,Pioneer,5.33467486648,619906.0394328219
MARATHON PIPE LINE,Wabash 12in Product,6.4512538789,850169.7693804969
WEST SHORE PIPELINE CO,West Shore Pipeine,0.472156035166,70706.57842831063
PLAINS ALL AMERICAN PIPELINE,Rocky Mountain System,3.18623250073,402501.2494989821
PLAINS ALL AMERICAN PIPELINE,Rocky Mountain System,5.37737698748,737054.8953906817
PLAINS ALL AMERICAN PIPELINE,Rocky Mountain System,4.00265192984,445953.5251726202
BUCKEYE PARTNERS,Buckeye,5.0012845518,644255.0200176883
BUCKEYE PARTNERS,Buckeye,2.60314367276,351033.0999519682
BUCKEYE PARTNERS,Buckeye,1.80403064852,230329.1378418605
BUCKEYE PARTNERS,Norco pipeline,3.13665266944,361604.6387366943
BUCKEYE PARTNERS,Buckeye,4.13101347434,534689.9037538279
BUCKEYE PARTNERS,Buckeye,4.22855016656,557024.7857458364
BUCKEYE PARTNERS,Buckeye,6.52931092052,757138.4142824672
ENBRIDGE,Southern Lights,11.6432401685,1540447.4021989992
BP PIPELINES (NORTH AMERICA),Whiting-Roseville,7.50785296542,952128.0344900624
BP PIPELINES (NORTH AMERICA),Milan\Wood River,3.67740651145,436877.22276865283
ENTERPRISE,Rocky Mountain,5.30892325378,645101.2438233111
SINCLAIR TRANSPORTATION,Medicine Bow Pipeline,3.39311382201,432439.4114795366
KOCH PIPELINE,Wisconsin pipeline,5.61764110671,671993.5173625451
KOCH PIPELINE,Wisconsin pipeline,0.994604613669,131587.89617831877
SINCLAIR TRANSPORTATION,Casper,1.67859860336,221690.11148086053
PHILLIPS 66 PIPELINE,Alkai Creek,0.293266909037,39232.503716470834
CHS ENERGY,McPherson Refinery Pipeline,3.45914716538,468895.51271612855
SINCLAIR TRANSPORTATION,Olathe\Carrollton\Gibbs\FtMadison,3.81196663709,456816.6804256835
SINCLAIR TRANSPORTATION,Chase,0.238202934292,30709.16610349647
BELLE FOURCHE PIPELINE,Diesel Pipeline,1.29969695454,162362.55480377743
WYOMING REFINING,Products Pipeline,0.576497057044,86453.84565821815
