ID,MAX_OCC,MaxOccNo
053-0092,7,7
053-0093,2,2
053-0094,6,6
053-0095,148,148
053-0075,44,44
053-0076,9,9
053-0077,2,2
053-0078,13,13
053-0079,50,50
053-0080,18,18
053-0081,34,34
053-0082,343,343
053-0083,60,60
053-0084,25,25
053-0085,3,3
053-0014,56,56
053-0025,60,60
053-0026,20,20
053-0027,12,12
053-0028,3,3
053-0029,48,48
053-0030,16,16
053-0031,8,8
053-0035,4,4
053-0036,5,5
053-0037,3,3
007-0014,6,6
053-0015,58,58
053-0016,16,16
053-0017,100,100
053-0018,276,276
053-0019,6,6
053-0020,8,8
053-0021,8,8
053-0021,2,2
053-0021,30,30
053-0022,248,248
053-0023,60,60
053-0038,450,450
053-0039,15,15
053-0040,6,6
053-0041,10,10
053-0045,28,28
053-0046,9,9
053-0048,6,6
053-0049,24,24
053-0050,48,48
053-0051,16,16
053-0052,UNKNOWN,UNK
053-0053,216,216
053-0054,152,152
053-0055,350,350
053-0056,20,20
053-0057,30,30
053-0058,8,8
053-0059,20,20
053-0060,151,151
053-0061,343,343
053-0062,3,3
053-0063,UNKNOWN,UNK
007-0004,10,10
007-0005,25,25
007-0007,10,10
007-0008,6,6
007-0009,50,50
007-0010,20,20
007-0011,10,10
007-0012,UNKNOWN,UNK
007-0013,6,6
051-0016,244,244
007-0015,18,18
007-0016,7,7
007-0017,44,44
007-0018,6,6
007-0019,UNKNOWN,UNK
025-0001,20,20
027-0023,100,100
027-0045,49,49
028-0001,UNKNOWN,UNK
053-0096,24,24
053-0097,496,496
053-0099,40,40
053-0100,30,30
053-0101,17,17
053-0102,7,7
053-0103,100,100
053-0105,86,86
053-0104,60,60
053-0106,250,250
053-0107,50,50
053-0108,83,83
053-0109,6,6
053-0110,91,91
053-0111,4,4
053-0112,108,108
053-0112,10,10
053-0115,70,70
053-0116,48,48
053-0119,79,79
053-0120,3,3
053-0122,4,4
053-0123,UNKNOWN,UNK
053-0125,UNKNOWN,UNK
053-0126,UNKNOWN,UNK
053-0128,42,42
053-0128,15,15
053-0129,40,40
053-0130,21,21
053-0130,4,4
053-0131,25,25
053-0132,10,10
053-0133,20,20
053-0134,22,22
053-0135,225,225
053-0136,71,71
053-0136,20,20
053-0139,UNKNOWN,UNK
053-0140,1003,1003
053-0142,25,25
053-0142,51,51
053-0143,30,30
053-0146,300,300
013-0029,7,7
028-0005,25,25
053-0071,12,12
053-0150,209,209
053-0151,6,6
053-0152,150,150
053-0153,11,11
053-0154,UNKNOWN,UNK
053-0155,20,20
053-0156,56,56
053-0158,6,6
053-0159,12,12
053-0162,24,24
053-0163,9,9
053-0164,6,6
053-0166,727,727
053-0167,10,10
053-0168,500,500
005-0001,14,14
005-0002,25,25
005-0003,18,18
005-0004,96,96
007-0002,24,24
007-0003,10,10
051-0036,96,96
051-0037,4,4
051-0038,138,138
051-0039,100,100
051-0040,310,310
053-0114,98,98
053-0118,88,88
053-0121,100,100
053-0032,300,300
005-0011,UNKNOWN,UNK
006-0017,26,26
007-0020,2,2
007-0021,38,38
007-0022,6,6
007-0023,4,4
007-0024,6,6
007-0025,13,13
021-0012,11,11
025-0002,12,12
027-0050,7,7
053-0042,2,2
053-0043,30,30
053-0044,10,10
053-0047,8,8
001-0005,5,5
005-0005,16,16
005-0006,3,3
005-0007,46,46
005-0008,44,44
005-0009,31,31
005-0010,29,29
038-0001,20,20
051-0007,54,54
051-0008,50,50
051-0009,136,136
051-0010,65,65
051-0011,70,70
051-0012,17,17
051-0013,54,54
051-0014,5,5
051-0015,5,5
051-0067,UNKNOWN,UNK
038-0002,25,25
038-0002,20,20
045-0008,30,30
045-0026,64,64
051-0001,8,8
051-0002,14,14
051-0003,UNKNOWN,UNK
051-0004,4,4
051-0005,34,34
051-0006,7,7
051-0017,28,28
051-0018,114,114
051-0019,6,6
051-0021,82,82
051-0021,25,25
051-0022,90,90
051-0023,262,262
051-0024,3,3
051-0025,25,25
051-0026,86,86
051-0026,14,14
051-0027,134,134
051-0028,42,42
051-0029,169,169
051-0030,8,8
051-0031,96,96
051-0032,80,80
051-0033,25,25
051-0034,8,8
051-0035,26,26
051-0058,172,172
051-0059,130,130
051-0060,246,246
051-0061,91,91
051-0062,46,46
051-0063,75,75
051-0064,94,94
051-0065,58,58
051-0066,64,64
027-0096,25,25
051-0068,42,42
051-0069,100,100
051-0070,87,87
051-0071,176,176
051-0072,136,136
051-0073,102,102
051-0074,UNKNOWN,UNK
051-0075,10,10
051-0076,UNKNOWN,UNK
027-0051,48,48
027-0052,7,7
027-0053,36,36
027-0054,50,50
027-0055,93,93
027-0056,7,7
027-0057,51,51
027-0058,23,23
027-0061,61,61
027-0062,25,25
027-0063,19,19
027-0064,5,5
027-0065,208,208
027-0067,5,5
027-0068,6,6
027-0069,35,35
027-0070,7,7
027-0071,9,9
027-0072,10,10
027-0073,114,114
027-0074,17,17
027-0075,45,45
027-0076,13,13
027-0077,68,68
027-0078,20,20
027-0079,6,6
027-0080,63,63
027-0081,100,100
027-0082,94,94
027-0083,51,51
027-0084,16,16
027-0085,77,77
028-0002,20,20
028-0003,30,30
028-0004,22,22
028-0006,16,16
028-0007,UNKNOWN,UNK
028-0008,22,22
029-0025,10,10
029-0026,17,17
029-0027,5,5
031-0097,30,30
031-0098,48,48
038-0003,20,20
045-0047,24,24
045-0048,6,6
045-0049,100,100
045-0050,10,10
051-0041,102,102
051-0042,75,75
051-0043,100,100
051-0044,80,80
051-0045,14,14
051-0046,140,140
051-0047,88,88
051-0048,68,68
051-0049,129,129
051-0050,82,82
051-0051,66,66
051-0052,63,63
051-0053,34,34
051-0054,100,100
051-0055,86,86
051-0056,20,20
051-0057,66,66
004-0024,10,10
029-0003,3,3
029-0003,4,4
013-0027,44,44
013-0028,30,30
027-0035,32,32
027-0008,70,70
027-0039,6,6
027-0043,7,7
027-0020,13,13
027-0029,748,748
027-0012,5,5
053-0113,158,158
053-0147,415,415
053-0124,90,90
053-0171,9,9
012-0024,20,20
051-0077,13,13
051-0078,14,14
053-0157,24,24
053-0160,27,27
053-0161,6,6
053-0165,5,5
053-0169,89,89
053-0170,69,69
053-0172,122,122
053-0173,6,6
053-0174,248,248
053-0175,437,437
053-0176,25,25
005-0012,45,45
027-0086,12,12
027-0088,12,12
027-0089,14,14
027-0090,20,20
027-0091,12,12
027-0092,12,12
027-0093,6,6
027-0094,26,26
027-0097,28,28
027-0098,6,6
027-0099,77,77
029-0028,4,4
029-0029,91,91
031-0099,7,7
045-0051,6,6
053-0177,5,5
053-0178,72,72
053-0179,266,266
004-0025,226,226
004-0026,6,6
027-0087,96,96
027-0095,UNKNOWN,UNK
001-0001,25,25
045-0028,150,150
045-0028,50,50
045-0022,18,18
045-0024,14,14
045-0024,6,6
017-0009,16,16
029-0002,10,10
